,band_name,fans,formed,origin,split,style
81,Immortal,1436,1990,Norway,1990,"Death,Black"
82,Lamb Of God,1433,1999,USA,-,Groove thrash
83,Iced Earth,1403,1985,USA,1985,"Heavy,Us power"
84,Anathema,1400,1990,United Kingdom,-,"Death doom,Atmospheric rock,Doom"
85,Symphony X,1343,1994,USA,1994,"Progressive,Symphonic power"
86,Eluveitie,1328,2002,Switzerland,-,"Celtic folk,Gothenburg"
87,Gojira,1300,1996,France,1996,Progressive death
88,Rammstein,1251,1994,Germany,-,Industrial
89,Sonata Arctica,1242,1996,Finland,1996,Power
90,Mastodon,1232,1999,USA,-,"Progressive stoner,Progressive sludge"
91,Nile,1189,1993,USA,1993,"Brutal death,Technical death"
92,Sepultura,1185,1984,Brazil,-,"Alternative,Death,Groove thrash,Thrash"
93,Moonspell,1173,1989,Portugal,1989,"Folk,Gothic black,Gothic,Symphonic black,Black"
94,Therion,1167,1987,Sweden,-,"Death,Symphonic"
95,Cannibal Corpse,1162,1988,USA,1988,Death
96,Enslaved,1146,1991,Norway,-,"Viking black,Progressive black"
97,Emperor,1132,1991,Norway,1991,"Black,Symphonic black"
98,Porcupine Tree,1094,1987,United Kingdom,-,"Progressive rock,Progressive"
99,Cradle Of Filth,1084,1991,United Kingdom,1991,"Extreme gothic,Symphonic black,Death,Symphonic"
100,Be'lakor,1083,2004,Australia,-,Melodic death
101,My Dying Bride,1069,1990,United Kingdom,1990,"Death doom,Gothic doom"
102,Led Zeppelin,1054,1968,United Kingdom,1980,"Progressive hard rock,Heavy,Blues rock"
103,Nevermore,1051,1991,USA,1991,"Heavy,Progressive,Thrash"
104,Stratovarius,1046,1982,Finland,-,"Power,Heavy"
105,Paradise Lost,1042,1988,United Kingdom,1988,"Gothic,Electro gothic,Death doom"
106,Dio,1023,1982,USA,2010,Heavy
107,Kalmah,1004,1991,Finland,1991,"Extreme power,Melodic death"
108,Carcass,1001,1985,United Kingdom,-,"Grindcore,Melodic death"
109,Burzum,978,1989,Norway,1989,"Black,Dark,Ambient,Ambient"
110,Anthrax,976,1981,USA,-,"Thrash,Heavy"
111,Morbid Angel,975,1984,USA,1984,Death
112,Meshuggah,970,1987,Sweden,-,"Technical thrash,Math,Progressive"
113,Finntroll,967,1997,Finland,1997,Extreme folk
114,Septicflesh,967,1990,Greece,-,"Atmospheric death,Symphonic death"
115,Moonsorrow,966,1995,Finland,1995,Viking folk
116,Machine Head,957,1992,USA,-,"Groove thrash,Progressive thrash"
117,System Of A Down,956,1995,USA,1995,Alternative
118,Within Temptation,956,1996,The Netherlands,-,"Symphonic,Gothic"
119,Bathory,942,1983,Sweden,1983,"Viking black,First wave of black"
120,Exodus,937,1980,USA,-,Bay area thrash
121,Draconian,936,1994,Sweden,1994,Gothic doom
122,Slipknot,928,1995,USA,-,"Alternative,Nu"
123,AC/DC,923,1973,Australia,1973,"Hard rock,Blues rock"
124,Ayreon,903,1995,The Netherlands,-,Progressive
125,Swallow The Sun,900,2000,Finland,2000,"Melodic death,Melodic doom"
126,Gamma Ray,898,1988,Germany,-,Power
127,Rhapsody Of Fire,896,1993,Italy,1993,Symphonic power
128,Hypocrisy,885,1990,Sweden,-,"Death,Melodic death,Gothenburg"
129,Mot?rhead,875,1975,United Kingdom,1975,Heavy
130,Bloodbath,872,1998,Sweden,-,Death
131,Korpiklaani,864,2003,Finland,2003,Folk
132,Manowar,863,1980,USA,-,"Heavy,Us power"
133,HammerFall,861,1993,Sweden,1993,Power
134,At The Gates,839,1990,Sweden,-,"Melodic death,Gothenburg"
135,Sabaton,824,1999,Sweden,1999,Power
136,Mayhem,823,1984,Norway,-,"Death,Black"
137,Vader,822,1983,Poland,1983,Death
138,Avantasia,819,1999,Germany,-,Symphonic power
139,Rotting Christ,807,1987,Greece,1987,"Black,Gothic"
140,Summoning,799,1993,Austria,-,Atmospheric black
141,Sodom,783,1980,Germany,1980,Teutonic thrash
142,Overkill,770,1980,USA,-,Thrash
143,Dissection,768,1989,Sweden,1989,"Melodic death,Melodic black"
144,Satyricon,768,1990,Norway,-,Black
145,Rush,767,1968,Canada,1968,Progressive rock
146,Darkthrone,753,1986,Norway,-,"Death,Black,Crust punk ,Heavy"
147,Ozzy Osbourne,750,1979,United Kingdom,1979,Heavy
148,Devin Townsend,747,1996,Canada,-,"Industrial progressive,Progressive"
149,Alcest,734,2000,France,2000,"Black,Shoegaze"
150,Equilibrium,729,2001,Germany,-,Viking folk
151,Deep Purple,714,1968,United Kingdom,1968,"Heavy,Hard rock"
152,Edguy,714,1992,Germany,-,Power
153,Soilwork,702,1995,Sweden,1995,Gothenburg
154,Riverside,684,2001,Poland,-,Progressive
155,Trivium,681,2000,USA,2000,"Metalcore,Alternative thrash"
156,Turisas,672,1997,Finland,-,Folk
157,Orphaned Land,662,1991,Israel,1991,"Progressive folk,Death,Folk"
158,Apocalyptica,656,1993,Finland,-,Symphonic heavy
159,King Diamond,641,1985,Denmark,1985,Heavy
160,Angra,633,1991,Brazil,-,Progressive power
161,Deicide,628,1987,USA,1987,Death
162,Alice In Chains,627,1985,USA,-,"Grunge ,Heavy"
163,Haggard,622,1991,Germany,1991,"Experimental death,Symphonic"
164,Disturbed,620,1996,USA,-,"Nu,Alternative"
165,DragonForce,607,1999,United Kingdom,1999,Power
166,Lacuna Coil,604,1994,Italy,-,"Gothic,Alternative"
167,Accept,601,1968,Germany,1968,Heavy
168,Arcturus,601,1990,Norway,-,"Avantgarde black,Avantgarde"
169,Omnium Gatherum,599,1996,Finland,1996,Melodic death
170,Obituary,596,1984,USA,-,Death
171,Pain Of Salvation,596,1984,Sweden,1984,"Progressive,Progressive rock"
172,Necrophagist,595,1992,Germany,-,Technical death
173,Fear Factory,594,1989,USA,1989,"Industrial,Death"
174,Tristania,594,1996,Norway,-,"Symphonic gothic,Gothic"
175,Decapitated,587,1996,Poland,1996,Technical death
176,Fleshgod Apocalypse,586,2007,Italy,-,Symphonic death
177,Primordial,583,1987,Ireland,1987,"Black,Celtic folk"
178,Candlemass,579,1984,Sweden,-,Epic doom
179,Scar Symmetry,574,2004,Sweden,2004,"Melodic death,Progressive power"
180,Eternal Tears Of Sorrow,573,1991,Finland,-,"Extreme power,Melodic death"
181,Marduk,567,1990,Sweden,1990,Black
182,Annihilator,565,1984,Canada,-,"Thrash,Heavy"
183,Alestorm,558,2004,United Kingdom,2004,"Folk,Power"
184,Ghost,547,2008,Sweden,-,"Heavy,Psychedelic rock"
185,Ulver,545,1992,Norway,1992,"Folk,Electronic,Avantgarde ,Black"
186,Cynic,542,1987,USA,-,"Progressive death,Progressive"
187,Ne Obliviscaris,539,2003,Australia,2003,Extreme progressive
188,In Mourning,533,2000,Sweden,-,"Gothic,Melodic death,Progressive"
189,Obscura,532,2002,Germany,2002,"Progressive death,Technical death"
190,Korn,531,1993,USA,-,"Nu,Alternative"
191,Evergrey,528,1996,Sweden,1996,"Progressive,Power"
192,T?r,526,1998,Faroe Islands,-,Folk
193,Type O Negative,526,1989,USA,1989,"Gothic,Doom"
194,Mercyful Fate,525,1981,Denmark,-,"Heavy,First wave of black"
195,Saturnus,522,1991,Denmark,1991,"Death,Gothic doom"
196,Bolt Thrower,519,1986,United Kingdom,2016,"Death,Grindcore"
197,Scorpions,519,1965,Germany,1965,"Progressive rock,Hard rock,Heavy"
198,Napalm Death,516,1981,United Kingdom,-,"Hardcore,Grindcore,Punk"
199,Windir,514,1994,Norway,1994,Viking black
200,Sentenced,510,1988,Finland,2005,"Death,Suomi,Depressive heavy,Melodic death"
201,Tiamat,510,1988,Sweden,1988,"Death,Atmospheric gothic"
202,Killswitch Engage,500,1999,USA,-,Melodic metalcore
203,Gorgoroth,498,1992,Norway,1992,Black
204,Celtic Frost,497,1984,Switzerland,2008,"First wave of black,Avantgarde,Thrash"
205,Rainbow,497,1975,United Kingdom,1975,"Hard rock,Heavy"
206,Suffocation,497,1990,USA,-,Brutal death
207,Kataklysm,493,1991,Canada,1991,Death
208,Dying Fetus,488,1991,USA,-,"Brutal death,Deathgrind,Technical death"
209,Norther,488,1996,Finland,1996,Extreme power
210,Sirenia,488,2001,Norway,-,Symphonic gothic
211,Savatage,482,1978,USA,1978,Progressive heavy
212,Empyrium,481,1994,Germany,-,"Doom,Folk,Neofolk"
213,Guns N' Roses,481,1985,USA,1985,Hard rock
214,Venom,481,1979,United Kingdom,-,"First wave of black,Heavy"
215,Dark Funeral,479,1993,Sweden,1993,Black
216,Avenged Sevenfold,477,1999,USA,-,"Metalcore,Heavy,Alternative"
217,Destruction,477,1983,Germany,1983,Teutonic thrash
218,Edge Of Sanity,472,1989,Sweden,2003,Progressive death
219,After Forever,470,1995,The Netherlands,1995,"Symphonic gothic,Symphonic progressive"
220,Ihsahn,464,2005,Norway,-,"Extreme progressive,Avantgarde"
221,Diablo Swing Orchestra,458,2003,Sweden,2003,"Avantgarde,Symphonic"
222,Arkona,450,2002,Russia,-,Pagan folk
223,Leprous,444,2001,Norway,2001,Progressive
224,Between The Buried And Me,441,2000,USA,-,Progressive metalcore
225,Death Angel,441,1982,USA,1982,Bay area thrash
226,W.A.S.P.,440,1982,USA,-,Heavy
227,As I Lay Dying,424,2001,USA,2001,Melodic metalcore
228,Black Label Society,424,1998,USA,-,Heavy
229,Borknagar,420,1995,Norway,1995,"Melodic black,Progressive black"
230,Isis,420,1997,USA,2010,"Post-metal,Atmospheric sludge"
231,Soulfly,417,1997,USA,1997,"Groove thrash,Nu"
232,Atheist,411,1984,USA,-,Technical death
233,DevilDriver,411,2002,USA,2002,"Nu,Melodic death,Groove thrash"
234,Shining,410,1996,Sweden,-,"Depressive black,Progressive black"
235,Strapping Young Lad,409,1995,Canada,1995,"Industrial,Thrash"
236,The Gathering,409,1989,The Netherlands,-,"Doom,Death doom,Atmospheric gothic,Experimental rock"
237,Anaal Nathrakh,399,1998,United Kingdom,1998,"Black,Grindcore"
238,Ghost Brigade,398,2005,Finland,-,"Post-metal,Alternative"
239,Delain,395,2002,The Netherlands,2002,Symphonic
240,Watain,391,1998,Sweden,-,Black
241,Saxon,387,1976,United Kingdom,1976,"New wave of british heavy,Heavy"
242,Vektor,387,2002,USA,-,"Technical thrash,Progressive thrash"
243,Immolation,386,1986,USA,1986,Death
244,Firewind,382,1998,Greece,-,"Power,Heavy"
245,Mors Principium Est,381,1999,Finland,1999,Gothenburg
246,Samael,381,1987,Switzerland,-,"Black,Electro industrial"
247,Bullet For My Valentine,379,1998,United Kingdom,1998,Melodic metalcore
248,Entombed,379,1987,Sweden,-,"Death,Death ',N',Roll"
249,Steven Wilson,375,2003,United Kingdom,2003,Progressive rock
250,Xandria,372,1994,Germany,-,"Gothic,Symphonic"
251,Drudkh,369,2002,Ukraine,2002,"Atmospheric black,Pagan black"
252,Animals As Leaders,367,2007,USA,-,"Progressive,Instrumental,Djent"
253,Queensr?che,367,1981,USA,1981,"Heavy,Progressive heavy,Progressive rock"
254,Powerwolf,364,2003,Germany,-,Power
255,Belphegor,363,1991,Austria,1991,"Black,Death"
256,Alice Cooper,362,1964,USA,-,"Hard rock,Glam rock,New,Wave ,Heavy"
257,Before The Dawn,359,1999,Finland,1999,"Gothic,Melodic death"
258,The Faceless,358,2004,USA,-,"Deathcore,Progressive death,Technical death"
259,Deftones,357,1988,USA,1988,"Nu,Alternative"
260,Primal Fear,354,1997,Germany,-,Power
261,Theatre Of Tragedy,354,1993,Norway,1993,"Gothic,Gothic industrial"
262,KISS,352,1972,USA,-,"Hard rock,Symphonic rock,Glam,Heavy"
263,Down,351,1991,USA,1991,"Heavy,Sludge,Stoner"
264,Skeletonwitch,349,2003,USA,-,Blackened thrash
265,Rage Against The Machine,344,1991,USA,1991,"Alternative,Nu"
266,Wolves In The Throne Room,343,2004,USA,-,Atmospheric black
267,Five Finger Death Punch,342,2005,USA,2005,Groove metal
268,Electric Wizard,341,1993,United Kingdom,-,"Doom,Stoner"
269,Nine Inch Nails,341,1988,USA,1988,"Industrial rock,Industrial"
270,Novembers Doom,341,1989,USA,-,"Death doom,Melodic death"
271,Dethklok,337,2006,USA,2006,Melodic death
272,Faith No More,337,1981,USA,-,Alternative
273,Cryptopsy,334,1988,Canada,1988,"Brutal death,Technical death,Death"
274,Falkenbach,332,1989,Germany,-,"Black,Viking folk,Folk"
275,Graveworm,331,1992,Italy,1992,"Gothic,Symphonic black"
276,Taake,331,1993,Norway,-,Black
277,Grave Digger,328,1980,Germany,1980,Heavy
278,Rob Zombie,326,1998,USA,-,"Alternative,Industrial"
279,The Black Dahlia Murder,326,2001,USA,2001,"Melodic death,Metalcore"
280,Running Wild,324,1976,Germany,-,"Heavy,Speed"
281,Neurosis,322,1985,USA,1985,"Atmospheric sludge,Post-hardcore ,Post-metal"
282,Carach Angren,320,2003,The Netherlands,-,Symphonic black
283,Dark Moor,320,1994,Spain,1994,Symphonic power
284,Baroness,319,2003,USA,-,"Sludge,Stoner rock,Progressive rock"
285,King Crimson,319,1969,United Kingdom,1969,Progressive rock
286,Shape Of Despair,319,1995,Finland,-,Funeral doom
287,Bruce Dickinson,315,1989,United Kingdom,1989,Heavy
288,Demons And Wizards,315,1999,USA,-,"Heavy,Power"
289,Deathspell Omega,314,1998,France,1998,"Black,Avantgarde"
290,Lacrimosa,312,1990,Germany,-,"Gothic,Symphonic"
291,Coroner,311,1985,Switzerland,1985,Technical thrash
292,Masterplan,311,2001,Germany,-,Progressive power
293,Tarja,310,2004,Finland,2004,Symphonic
294,Ahab,309,2004,Germany,-,Funeral doom
295,Melechesh,307,1993,The Netherlands,1993,"Melodic black,Folk"
296,Rage,306,1986,Germany,-,Heavy
297,Cult Of Luna,305,1998,Sweden,1998,"Post-metal,Sludge"
298,Suidakra,305,1994,Germany,-,"Melodic death,Folk"
299,Yngwie Malmsteen,304,1978,Sweden,1978,Neoclassical power
300,Kyuss,301,1988,USA,1995,"Stoner,Stoner rock"
301,All That Remains,298,1998,USA,1998,Melodic metalcore
302,Marilyn Manson,298,1989,USA,-,"Industrial rock,Alternative,Industrial,Glam rock,Alternative rock"
303,Sõlstafir,297,1995,Iceland,1995,"Atmospheric black,Post-rock"
304,Woods Of Ypres,297,2002,Canada,2011,"Melodic black,Doom,Gothic doom"
305,Blut Aus Nord,296,1994,France,1994,"Atmospheric black,Industrial"
306,Godsmack,296,1995,USA,-,"Alternative,Hard rock"
307,Haken,293,2007,United Kingdom,2007,Progressive
308,HIM,293,1995,Finland,-,Suomi
309,Warbringer,293,2004,USA,2004,Thrash
310,Havok,289,2004,USA,-,Thrash
311,Novembre,288,1990,Italy,1990,"Death doom,Extreme progressive"
312,Evile,285,2004,United Kingdom,-,Thrash
313,Six Feet Under,283,1993,USA,1993,Death
314,Leaves' Eyes,281,2003,Germany,-,Atmospheric symphonic
315,Old Man's Child,281,1989,Norway,1989,"Thrash,Death,Symphonic black"
316,Chimaira,280,1998,USA,2014,Groove thrash
317,Persefone,279,2001,Andorra,2001,"Melodic death,Progressive"
318,Heaven Shall Burn,276,1996,Germany,-,"Metalcore,Melodic death"
319,Myrath,275,2001,France,2001,"Progressive,Oriental folk"
320,Freedom Call,272,1998,Germany,-,Power
321,Green Carnation,272,1990,Norway,1990,"Death,Gothic,Progressive"
322,High On Fire,272,1998,USA,-,"Stoner,Sludge"
323,Metal Church,268,1980,USA,1980,"Heavy,Thrash"
324,Sylosis,267,2000,United Kingdom,-,"Melodic death,Progressive thrash"
325,Danzig,266,1988,USA,1988,Hard rock
326,Elvenking,265,1997,Italy,-,"Folk,Power"
327,Triptykon,265,2008,Switzerland,2008,"Blackened thrash,Death"
328,Volbeat,264,2001,Denmark,-,"Heavy,Hard rock"
329,The Haunted,263,1996,Sweden,1996,"Alternative thrash,Thrash,Melodic death"
330,Carpathian Forest,262,1990,Norway,-,Black
331,Van Halen,262,1972,USA,1972,"Hard rock,Heavy"
332,Falconer,261,1999,Sweden,-,"Folk,Power"
333,Pain,261,1996,Sweden,1996,Gothic industrial
334,Unleashed,260,1989,Sweden,-,Melodic death
335,Protest The Hero,258,2001,Canada,2001,"Metalcore,Progressive metalcore"
336,Gorguts,257,1989,Canada,-,"Death,Technical death,Avantgarde"
337,Circus Maximus,256,2000,Norway,2000,Progressive
338,Aborted,255,1995,Belgium,-,"Brutal death,Melodic death,Grindcore"
339,Municipal Waste,254,2000,USA,2000,Crossover thrash
340,Virgin Black,253,1995,Australia,-,"Gothic,Doom"
341,Dismember,252,1988,Sweden,1988,Death
342,Joe Satriani,252,1984,USA,-,"Hard rock,Rock,Instrumental"
343,Barren Earth,250,2007,Finland,2007,"Melodic death,Progressive"
344,Dream Evil,250,1999,Sweden,-,"Heavy,Power"
345,Krisiun,249,1990,Brazil,1990,Brutal death
346,Negur? Bunget,249,1995,Romania,-,"Black,Folk"
347,Uaral,248,1996,Chile,1996,"Doom,Neofolk"
348,Amaranthe,247,2008,Sweden,-,"Power,Industrial"
349,Whitesnake,247,1978,United Kingdom,1978,Hard rock
350,Quo Vadis,246,1992,Canada,-,Technical death
351,Mercenary,245,1991,Denmark,1991,"Melodic death,Thrash,Gothenburg,Heavy"
352,Pestilence,245,1986,The Netherlands,-,"Death,Progressive death,Technical death"
353,The Agonist,244,2004,Canada,2004,"Metalcore,Melodic death"
354,Cavalera Conspiracy,243,2007,USA,-,Thrash
355,Mudvayne,243,1996,USA,1996,"Nu,Alternative"
356,Origin,243,1997,USA,-,Technical death
357,The Ocean,243,2000,Germany,2000,"Post-metal,Sludge,Hardcore"
358,Vintersorg,243,1994,Sweden,-,"Black,Progressive,Folk"
359,Voivod,243,1982,Canada,1982,"Thrash,Progressive"
360,Fates Warning,242,1982,USA,-,"Us power,Progressive"
361,Skid Row,240,1987,USA,1987,"Heavy,Hard rock"
362,Unexpect,239,1996,Canada,2015,Extreme avantgarde
363,Vital Remains,239,1989,USA,1989,Death
364,Kvelertak,238,2007,Norway,-,"Blackened hardcore,Punk"
365,1349,236,1997,Norway,1997,Black
366,M?tley CrÅe,236,1981,USA,2015,"Glam rock,Glam"
367,Tankard,236,1982,Germany,1982,Thrash
368,Dragonland,235,1999,Sweden,-,Symphonic power
369,Cattle Decapitation,234,1996,USA,1996,"Deathgrind,Goregrind"
370,Revocation,234,2006,USA,-,"Technical death,Thrash"
371,Pagan's Mind,233,2000,Norway,2000,"Progressive,Power"
372,Artillery,232,1982,Denmark,-,Thrash
373,Shade Empire,232,1999,Finland,1999,Symphonic black
374,Arsis,231,2000,USA,-,"Melodic death,Technical death"
375,Autopsy,231,1987,USA,1987,Death
376,Dark Fortress,230,1994,Germany,-,Black
377,Lake Of Tears,230,1992,Sweden,1992,"Gothic,Doom"
378,Daylight Dies,229,1996,USA,-,"Melodic death,Doom"
379,Lost Horizon,229,1990,Sweden,1990,Power
380,TesseracT,226,2003,United Kingdom,-,"Progressive math,Djent"
381,Keep Of Kalessin,222,1994,Norway,1994,"Black,Melodic black,Progressive black"
382,Toxic Holocaust,222,1999,USA,-,"Blackened thrash,Crossover thrash"
383,Possessed,220,1983,USA,1983,"Death,Thrash"
384,3 Inches Of Blood,219,1999,Canada,2015,"Heavy,Power"
385,Allegaeon,218,2005,USA,2005,"Technical death,Melodic death"
386,Beyond Creation,217,2005,Canada,-,"Technical death,Progressive death"
387,Catamenia,215,1995,Finland,1995,"Melodic black,Melodic death,Heavy"
388,Def Leppard,215,1977,United Kingdom,-,"New wave of british heavy,Hard rock"
389,Hatebreed,215,1994,USA,1994,"Hardcore,Metalcore"
390,Heavenly,215,1994,France,-,Power
391,Heidevolk,215,2002,The Netherlands,2002,Folk
392,Soundgarden,215,1984,USA,-,"Grunge ,Stoner"
393,Textures,215,2001,The Netherlands,2001,Progressive math
394,Sigh,214,1989,Japan,-,"Death,Black,Avantgarde,Thrash"
395,Antimatter,213,1998,United Kingdom,1998,Atmospheric rock
396,Clutch,213,1990,USA,-,"Hard rock,Stoner rock"
397,Crematory,211,1991,Germany,1991,"Death,Gothic"
398,Gorod,211,1997,France,-,Technical death
399,Les Discrets,211,2003,France,2003,"Black,Shoegaze"
400,October Tide,211,1995,Sweden,-,Death doom
401,Periphery,211,2005,USA,2005,"Progressive math,Djent"
402,Seventh Wonder,211,2000,Sweden,-,Progressive
403,Stone Sour,209,1992,USA,1992,"Hard rock,Alternative"
404,Estatic Fear,208,1994,Austria,1999,Symphonic doom
405,Malevolent Creation,208,1987,USA,1987,Death
406,Esoteric,207,1992,United Kingdom,-,"Psychedelic doom,Funeral doom"
407,Hate Eternal,207,1996,USA,1996,Brutal death
408,The Foreshadowing,207,1999,Italy,-,"Doom,Gothic"
409,Atoma,206,2011,Sweden,2011,"Post-metal,Post-rock"
410,Deathstars,206,2000,Sweden,-,Industrial gothic
411,Luca Turilli's Rhapsody,206,2011,Italy,2011,Symphonic power
412,Iron Savior,205,1996,Germany,-,Power
413,Asphyx,204,1987,The Netherlands,1987,Death
414,Control Denied,204,1995,USA,2001,Progressive
415,Job For A Cowboy,203,2002,USA,2002,"Deathcore,Death"
416,Heaven And Hell,201,2006,USA,2010,Heavy
417,Thyrfing,200,1995,Sweden,1995,Viking black
418,Ministry,199,1981,USA,-,"Industrial,Synth pop"
419,Queens Of The Stone Age,199,1997,USA,1997,"Stoner,Stoner rock"
420,Slumber,199,2002,Sweden,2010,Melodic doom
421,Threshold,199,1988,United Kingdom,1988,Progressive
422,Grave,198,1986,Sweden,-,Death
423,Naglfar,198,1992,Sweden,1992,Melodic black
424,Benighted,197,1998,France,-,"Brutal death,Blackened death,Grindcore"
425,Lordi,195,1992,Finland,1992,"Hard rock,Glam"
426,Alter Bridge,194,2004,USA,-,"Hard rock,Rock"
427,Doom:VS,194,2004,Sweden,2004,Funeral doom
428,Finsterforst,194,2004,Germany,-,Pagan folk
429,Luca Turilli,192,1999,Italy,1999,Symphonic power
430,Shadows Fall,192,1996,USA,-,"Modern thrash,Melodic death"
431,Steve Vai,191,1982,USA,1982,Progressive rock
432,Twisted Sister,191,1972,USA,-,"Hard rock,Glam"
433,Suicidal Tendencies,190,1981,USA,1981,"Crossover thrash,Hardcore,Punk"
434,Whitechapel,189,2006,USA,-,Deathcore
435,Jeff Loomis,188,2005,USA,2005,"Progressive,Instrumental"
436,M?negarm,188,1995,Sweden,-,"Black,Viking folk"
437,Van Canto,188,2006,Germany,2006,"Power,A,Cappella"
